date,adjusted price,close,high,low,open,volume,ticker,day
2010-02-02,23.576383590698242,30.589569091796875,30.695388793945312,29.667423248291016,30.143613815307617,4634072,WDC,1
2010-02-03,23.588031768798828,30.604686737060547,30.929704666137695,30.279666900634766,30.40816307067871,3381985,WDC,2
2010-02-04,22.55689239501953,29.266817092895508,30.143613815307617,29.047618865966797,30.143613815307617,4819954,WDC,3
2010-02-05,22.970521926879883,29.803476333618164,29.939531326293945,28.843536376953125,29.25170135498047,7366199,WDC,4
2010-02-08,23.098678588867188,29.96976661682129,30.51398277282715,29.841270446777344,30.075586318969727,4868772,WDC,0
2010-02-09,23.52395248413086,30.521541595458984,30.884353637695312,30.090702056884766,30.544218063354492,5938153,WDC,1
2010-02-10,23.343360900878906,30.2872257232666,30.710506439208984,29.856386184692383,30.317459106445312,3630312,WDC,2
2010-02-11,23.471525192260742,30.453514099121094,30.634920120239258,29.91685676574707,30.355253219604492,4839799,WDC,3
2010-02-12,23.215194702148438,30.12093734741211,30.370370864868164,29.365079879760742,30.226757049560547,6392736,WDC,4
2010-02-16,24.805599212646484,32.18442916870117,32.199546813964844,30.385488510131836,30.4761905670166,9595454,WDC,1
2010-02-17,24.84054946899414,32.22978210449219,32.456539154052734,31.685562133789062,32.403629302978516,5439779,WDC,2
2010-02-18,25.283296585083008,32.80423355102539,32.84958267211914,31.70823860168457,32.078609466552734,5228496,WDC,3
2010-02-19,25.137659072875977,32.61526870727539,33.09901809692383,32.46409606933594,32.758880615234375,5080055,WDC,4
2010-02-22,24.683256149291992,32.025699615478516,32.86470031738281,31.957672119140625,32.705970764160156,5557658,WDC,0
2010-02-23,23.79193878173828,30.869237899780273,32.04081726074219,30.604686737060547,32.04081726074219,6806703,WDC,1
2010-02-24,22.714191436767578,29.47089958190918,31.337867736816406,29.34996223449707,31.035524368286133,14987209,WDC,2
2010-02-25,22.778278350830078,29.554044723510742,29.67498016357422,28.185941696166992,29.085411071777344,14052641,WDC,3
2010-02-26,22.504470825195312,29.19879150390625,29.599395751953125,28.994709014892578,29.599395751953125,6176822,WDC,4
